TransactionAmount,CountryRiskScore,TransactionsPerDay,AccountAgeMonths,CrossBorderFlag,SanctionFlag,PEPFlag,DeviceChangeFlag,Is_Laundering
4890.73,4,5,2,0,0,0,0,0
4326.89,3,6,39,0,0,0,0,0
4459.72,2,4,87,0,0,0,0,0
3081.5,4,5,62,0,0,0,0,0
10852.02,5,2,80,0,0,0,1,0
3703.36,2,6,60,0,0,0,0,0
8174.33,5,6,74,0,0,0,0,0
6171.41,5,7,54,0,0,0,0,0
13032.33,3,5,107,0,0,0,0,0
6878.42,1,3,12,1,0,0,0,0
1861.79,3,4,114,0,0,0,0,0
1700.72,2,5,20,0,0,0,0,0
15164.24,5,7,58,0,0,0,0,1
3020.06,2,8,65,0,0,0,0,0
1708.75,1,4,114,1,0,0,0,0
2876.43,3,5,90,1,0,0,0,0
13516.96,1,6,12,0,0,0,0,0
1577.87,1,8,72,0,0,0,0,0
2457.26,3,2,39,1,0,0,0,0
2882.91,1,8,98,1,0,0,0,0
1806.32,2,6,2,0,1,0,0,0
1905.57,2,5,30,0,0,0,0,0
1459.01,1,3,17,0,0,0,0,0
3398.37,1,5,77,0,0,0,0,0
3699.94,3,3,110,0,0,0,0,0
2846.85,2,4,35,0,0,0,0,0
1309.03,2,4,102,0,0,0,0,0
13395.43,1,3,66,0,0,0,1,0
1697.2,2,5,40,0,0,0,0,0
6139.06,5,6,83,0,0,1,0,0
2080.13,2,8,21,0,0,0,0,0
8388.81,2,2,70,0,0,0,0,0
10558.28,3,8,58,0,0,0,0,0
2435.5,2,5,98,0,0,0,0,0
1054.72,1,5,82,0,0,0,0,0
8575.2,5,6,47,1,0,0,0,0
22040.58,1,9,67,0,0,0,1,1
6853.78,1,4,3,0,0,0,0,0
5588.33,3,4,93,0,0,0,0,0
9469.28,1,3,58,0,0,0,0,0
9063.8,1,4,31,0,0,1,0,0
2532.11,3,5,97,1,0,0,0,0
2900.62,1,10,81,0,0,0,0,0
8013.63,3,3,116,0,0,0,1,0
4379.94,3,7,71,0,0,0,1,0
14090.9,3,7,4,1,0,0,0,0
2797.63,1,2,106,0,0,0,0,0
8959.66,2,5,13,0,0,0,0,0
6464.69,4,2,9,0,0,0,0,0
4441.96,4,2,16,0,0,0,0,0
12590.89,3,4,35,0,0,0,1,0
8468.06,2,6,87,0,0,0,0,0
2199.59,1,6,42,0,0,0,0,0
8202.34,2,6,63,0,0,0,1,0
14764.67,1,5,31,0,0,0,1,0
4427.74,1,2,115,0,0,0,0,0
4028.2,1,4,72,0,0,0,0,0
2876.36,2,2,46,1,1,0,0,1
4861.57,2,5,56,0,0,0,0,0
8509.69,2,4,73,0,0,0,0,0
2555.15,2,3,19,1,0,0,0,0
1673.9,1,5,65,0,1,0,0,0
3638.77,2,9,69,0,0,0,0,0
1629.81,2,9,68,0,0,0,0,0
7469.44,2,4,61,1,0,0,1,0
3493.46,5,6,41,0,0,0,0,0
1206.74,1,6,95,0,0,0,0,0
3718.64,5,6,119,0,0,0,1,0
4212.91,4,6,14,1,0,1,0,1
7039.61,1,5,105,0,0,0,0,0
4375.21,4,3,79,0,0,0,0,0
21916.2,2,5,65,0,0,0,0,0
3245.54,1,1,45,0,0,0,0,0
4675.45,3,2,89,0,0,0,0,0
4526.35,1,7,56,0,0,0,1,0
3920.2,1,5,49,1,0,1,0,0
5507.91,2,6,96,1,0,0,0,0
7577.85,3,8,77,0,0,0,0,0
14358.24,3,7,10,0,0,0,0,0
1400.51,4,6,70,0,0,0,0,0
3267.32,5,7,89,1,0,0,0,0
3435.04,3,5,56,0,0,0,1,0
10407.48,2,3,21,1,0,0,0,0
3694.76,2,3,18,1,0,0,0,0
1079.08,1,8,61,0,0,0,0,0
5272.1,2,3,19,0,0,0,0,0
4784.08,1,9,34,0,0,0,0,0
5674.86,2,4,32,0,0,0,0,0
2138.52,1,4,114,0,0,0,0,0
19442.72,1,3,70,0,0,0,0,0
3793.0,1,2,80,0,0,0,0,0
4227.48,1,2,111,0,0,0,1,0
2392.26,1,1,37,0,0,0,0,0
2333.67,2,2,22,0,0,0,1,0
1847.91,1,7,4,1,0,0,0,0
3588.0,1,5,43,0,0,0,0,0
2284.57,2,6,118,0,0,0,0,0
25467.89,1,8,90,1,0,0,0,0
1084.86,2,7,71,1,0,0,1,0
1992.88,3,3,103,1,0,0,0,0
3564.82,1,3,24,1,0,0,0,0
8423.6,5,5,69,0,0,0,0,0
3529.79,4,5,73,0,0,0,0,0
8440.28,1,7,107,0,0,0,0,0
2231.78,1,5,113,0,0,0,0,0
5153.51,1,5,8,0,0,0,0,0
19835.59,1,3,49,0,0,0,1,0
2266.07,1,4,115,0,1,0,0,0
6875.05,1,9,76,0,1,0,0,1
5799.59,1,3,111,0,0,0,0,0
811.41,1,8,63,0,0,0,0,0
3068.13,3,1,57,1,0,0,0,0
12148.02,2,3,18,1,0,0,0,0
5475.63,2,6,33,0,0,0,0,0
1863.45,2,3,48,0,0,0,0,0
8540.9,3,4,111,0,0,0,0,0
3349.95,1,4,110,1,0,0,0,0
6555.37,2,6,27,0,0,0,0,0
6644.44,2,6,40,0,0,0,0,0
2008.3,1,4,18,0,0,0,0,0
9245.22,4,5,39,1,0,0,0,0
2195.12,1,3,74,0,0,0,0,0
1729.13,2,7,67,1,0,0,0,0
2425.36,4,4,27,0,0,0,0,0
3726.14,2,8,43,1,0,0,0,0
5364.31,2,8,64,0,0,0,0,0
2648.99,1,2,26,0,0,0,0,0
8918.25,2,5,32,0,0,0,0,0
6009.95,1,6,48,0,0,0,0,0
2819.07,1,6,110,0,0,0,0,0
10008.54,2,5,70,0,0,0,1,0
12442.27,1,2,100,0,0,0,0,0
4541.68,1,4,66,0,0,0,0,0
4138.19,2,5,57,0,0,0,0,0
1189.14,2,6,71,0,0,0,0,0
3547.47,2,6,22,0,0,0,1,0
3892.45,3,3,103,0,0,1,1,0
5980.76,2,4,32,1,0,0,0,0
4295.22,1,6,107,1,0,0,0,0
5974.3,3,6,10,0,0,0,0,0
16768.75,3,2,58,0,0,0,0,0
3216.56,2,5,44,1,0,0,0,0
3318.35,4,6,33,0,0,1,0,0
1724.46,2,3,54,0,0,0,0,0
4880.84,2,2,62,0,0,0,0,0
10736.99,2,3,30,0,0,0,0,0
1210.93,1,6,94,0,0,0,1,0
2885.1,5,9,54,0,0,0,0,1
5058.13,1,7,33,1,0,0,0,0
9701.95,4,6,20,1,0,0,0,0
6676.15,1,3,25,1,0,0,0,0
6376.48,4,2,95,0,0,0,0,0
4107.42,1,7,59,1,0,0,0,0
7226.42,2,6,16,1,0,0,0,0
11063.9,2,4,86,0,0,0,0,0
1252.39,2,6,50,0,0,0,0,0
8802.83,2,5,74,1,0,0,0,0
4541.41,3,5,60,0,0,1,0,0
3216.37,3,5,71,0,0,0,0,0
696.13,1,5,53,0,0,0,0,0
1629.0,1,13,72,0,0,1,0,0
19119.18,1,8,18,1,0,0,0,0
2833.2,3,6,100,0,0,0,0,0
2063.55,1,4,48,0,0,0,0,0
3411.34,1,2,69,0,0,0,0,0
2707.77,5,4,66,0,0,0,0,0
5428.87,1,4,74,0,0,0,0,0
16540.69,2,5,26,0,0,0,0,0
3073.91,1,6,13,0,0,0,0,0
5560.44,2,3,88,0,0,0,0,0
1962.96,4,9,80,1,0,0,0,1
16583.0,1,6,12,0,0,0,0,0
5717.2,2,4,48,0,0,0,1,0
2068.43,2,6,85,0,0,0,0,0
10131.91,1,5,23,0,0,0,0,0
12835.76,1,5,85,0,0,0,0,0
5592.41,1,3,104,0,0,0,0,0
1324.09,2,6,92,0,0,0,0,0
20499.08,2,4,39,0,0,0,0,0
6298.7,2,6,85,0,0,0,0,0
12536.05,3,6,48,0,0,0,0,0
3163.03,2,3,116,0,0,0,0,0
3572.79,2,3,99,0,0,0,0,0
5368.81,1,7,21,0,0,0,1,0
11976.74,2,4,50,0,0,0,0,0
5510.4,1,7,46,0,0,0,0,0
1798.18,1,5,100,0,0,0,0,0
6060.77,3,6,108,0,0,0,0,0
18099.28,3,5,39,0,0,0,0,0
5180.44,1,8,58,0,0,0,0,0
5450.75,3,5,97,0,0,0,0,0
1789.99,1,5,100,0,0,0,0,0
1599.76,2,3,25,0,0,0,0,0
2950.84,2,6,98,1,0,0,0,0
3784.94,1,1,9,0,0,0,0,0
5341.43,3,1,61,0,0,0,0,0
5612.58,2,5,67,0,0,0,0,0
17703.65,2,3,74,0,0,0,0,0
5151.02,3,5,45,1,0,0,0,0
11516.52,1,4,15,1,0,1,0,1
4762.54,3,5,81,0,0,0,0,0
15664.04,1,4,69,0,0,0,0,0
1100.68,3,5,20,0,0,0,0,0
3044.26,4,9,91,0,0,0,0,1
10790.56,3,7,10,0,0,0,0,0
4284.35,1,6,110,1,0,0,1,0
10354.99,1,6,47,1,0,0,0,0
6687.88,2,5,5,0,0,0,0,0
10474.53,2,12,99,0,0,0,1,0
8026.1,2,4,43,1,0,0,0,0
8424.67,1,3,56,0,0,0,0,0
16219.42,3,1,23,0,0,0,1,0
10820.3,1,4,6,0,0,0,0,0
10883.96,3,6,33,0,0,0,0,0
4995.71,1,5,108,0,0,0,0,0
3085.66,2,5,19,0,0,0,0,0
2899.67,1,8,17,0,0,0,0,0
8962.06,1,5,50,0,0,0,0,0
698.71,4,3,56,0,0,0,0,0
1727.2,3,4,103,0,0,0,0,0
2274.23,3,7,41,0,0,0,0,0
4031.54,3,4,111,0,0,0,0,0
598.75,3,5,79,0,0,0,0,0
13453.26,1,2,44,0,0,1,0,0
7943.75,3,4,55,1,0,0,0,0
24044.6,3,4,60,1,0,0,0,0
11496.2,4,7,64,0,0,0,0,1
11207.11,5,8,48,0,0,0,0,0
29748.7,4,7,59,0,0,0,0,1
3112.66,1,4,41,0,0,0,0,0
1476.21,1,6,8,0,0,0,0,0
4081.07,3,4,28,0,0,0,0,0
2540.22,5,2,114,0,0,0,0,0
4001.9,1,4,34,0,0,0,0,0
2121.39,1,7,48,0,0,0,0,0
7741.14,2,6,92,0,0,0,0,0
7408.52,1,3,38,1,0,0,0,0
4810.05,3,5,80,0,0,0,0,0
6306.05,3,7,76,0,0,0,0,0
4386.82,1,7,36,1,0,0,0,0
8969.87,2,2,6,0,0,0,0,0
5196.35,1,2,73,0,0,0,0,0
3974.46,2,5,49,1,0,0,0,0
10338.89,5,9,109,1,0,0,0,1
13475.88,2,10,38,1,0,0,0,1
14327.89,3,8,68,1,0,0,1,0
2225.6,1,2,69,0,0,0,0,0
3204.92,1,9,6,0,0,0,0,0
1259.92,2,1,92,1,0,0,0,0
4060.85,1,6,14,1,0,0,0,0
6856.13,2,7,22,0,0,0,0,0
4419.4,2,2,81,0,0,0,0,0
23032.94,2,6,59,0,0,0,0,0
3552.21,1,4,70,0,0,0,0,0
2057.39,1,4,15,0,0,0,0,0
7745.0,5,6,39,0,0,0,0,0
5541.09,1,3,38,0,0,1,0,0
7629.02,3,6,42,0,0,1,0,0
6266.86,2,4,114,0,0,0,0,0
5973.05,2,4,18,1,0,0,1,0
899.79,3,1,88,1,0,0,0,0
2749.32,1,4,55,0,0,0,0,0
3064.81,1,5,98,0,0,0,0,0
3720.56,1,2,2,0,0,0,0,0
3433.33,1,7,14,0,0,0,0,0
6838.03,1,7,77,1,0,0,0,0
7948.24,4,4,110,1,0,0,0,0
1987.61,3,3,106,0,0,0,0,0
8513.8,4,3,20,0,0,0,0,0
7852.71,1,3,111,0,0,1,0,0
7133.92,3,6,97,1,1,0,0,1
1580.8,2,4,10,0,0,0,0,0
6991.61,2,2,41,1,0,0,0,0
5250.49,3,4,52,1,0,0,0,0
10601.0,2,4,2,0,0,0,1,0
20485.76,1,6,105,1,0,0,0,0
17508.72,2,8,22,1,0,0,0,0
5378.23,4,8,42,1,0,0,0,0
4907.4,1,2,104,0,0,0,1,0
8148.25,2,2,31,0,0,0,0,0
2014.18,2,5,100,0,0,0,0,0
1539.87,1,2,84,0,0,0,0,0
3367.67,3,4,116,0,0,0,0,0
13048.85,3,4,46,0,0,0,0,0
3771.01,2,3,101,0,0,0,0,0
16351.33,1,5,14,0,0,0,0,0
528.22,3,3,111,1,0,0,0,0
1380.55,4,9,48,0,0,0,0,1
4451.73,1,6,55,0,0,0,0,0
10002.15,5,4,89,1,0,1,0,1
4648.51,2,5,9,0,0,0,0,0
4552.71,2,4,12,0,0,0,1,0
4458.67,3,5,83,0,0,0,0,0
1199.53,3,6,32,0,0,0,0,0
12412.45,3,7,88,0,0,0,0,0
2846.34,2,8,3,0,0,0,0,0
11750.21,1,3,16,0,0,0,0,0
4645.16,1,6,63,0,0,0,0,0
11551.01,2,5,21,0,0,0,0,0
6467.9,2,6,1,0,1,0,1,0
4512.74,5,3,18,0,1,0,0,1
5889.99,3,4,17,0,0,0,0,0
1512.65,3,5,18,0,0,0,0,0
4938.53,2,2,96,0,0,0,0,0
19396.2,2,6,33,0,0,0,1,0
13996.39,3,2,35,0,0,0,0,0
2234.97,1,6,40,0,0,0,0,0
7365.4,4,2,14,0,0,0,0,0
5993.22,1,4,110,0,0,0,0,0
9449.82,5,5,89,1,0,0,0,0
5299.26,4,4,57,0,0,0,0,0
4077.33,3,4,86,0,0,0,0,0
14249.89,2,6,24,0,0,0,0,0
5843.69,2,8,17,1,0,0,0,0
13418.26,3,4,116,1,0,0,0,0
10716.17,1,7,50,0,0,0,0,0
3791.1,1,7,79,0,0,0,1,0
4300.13,2,11,16,0,0,1,0,0
23014.18,1,1,23,1,0,1,0,1
5728.37,1,5,92,0,0,1,0,0
2678.73,2,6,77,0,0,0,0,0
1881.76,4,2,12,1,0,0,0,0
10713.99,1,4,65,0,0,0,0,0
5587.21,2,2,65,0,0,0,1,0
2607.97,3,3,97,0,0,0,0,0
8430.98,2,4,74,0,0,0,0,0
5584.77,5,12,113,0,0,0,0,1
1301.95,4,5,60,0,0,0,1,0
7871.06,1,4,27,1,0,0,0,0
14279.11,2,10,3,0,0,0,0,1
38096.59,2,7,5,0,0,0,0,0
5053.93,2,4,89,0,0,0,0,0
5920.17,2,3,78,0,0,0,0,0
17770.19,1,6,48,0,0,0,0,0
5625.01,2,5,102,1,0,0,1,0
6125.85,2,6,80,0,0,1,0,0
2967.59,1,9,78,0,0,0,0,0
1610.82,1,5,110,0,0,0,0,0
10200.07,2,7,91,1,0,0,0,0
1774.27,2,5,115,0,0,0,0,0
12240.74,2,6,86,0,0,0,0,0
2616.17,2,4,8,0,0,0,0,0
6076.52,2,5,119,1,0,0,0,0
3648.91,4,8,26,0,0,0,0,0
12577.69,1,4,97,0,0,0,0,0
6252.13,1,4,108,1,0,0,0,0
23559.31,2,9,47,1,0,0,1,1
2065.36,3,6,12,0,0,0,0,0
6843.75,3,6,82,0,0,0,0,0
5104.48,4,3,119,0,0,0,0,0
6148.45,1,3,83,0,0,0,0,0
17619.07,4,8,26,1,0,0,1,1
7849.89,2,5,48,1,0,0,0,0
1962.51,3,6,22,0,0,0,0,0
7531.19,3,4,79,0,0,0,0,0
3524.54,4,7,39,0,0,0,1,0
3365.45,2,4,106,1,0,0,0,0
11346.74,2,6,71,0,0,0,0,0
3035.49,5,9,75,0,0,0,0,1
3627.2,2,3,66,0,0,0,0,0
5043.85,2,4,74,0,0,0,0,0
10477.12,2,5,29,1,0,0,0,0
7826.51,5,5,81,0,0,0,0,0
4074.36,3,6,2,0,0,0,1,0
3953.11,3,6,93,0,0,0,0,0
1942.82,2,3,79,0,0,0,0,0
2676.14,1,1,110,0,0,0,1,0
2911.71,2,7,116,0,0,0,0,0
4361.48,3,2,38,0,0,1,0,0
24086.59,3,5,67,1,0,0,0,0
2863.0,3,5,27,0,0,0,0,0
3879.02,3,5,71,0,0,0,0,0
951.54,3,3,38,0,0,0,1,0
7946.26,4,3,56,0,0,0,0,0
1391.37,2,5,55,0,0,0,0,0
2379.7,2,2,48,0,0,0,0,0
11314.82,2,7,55,0,0,0,0,0
912.38,4,5,19,0,0,0,0,0
5306.76,2,5,30,1,0,0,0,0
9327.7,3,9,68,0,0,0,1,0
16653.16,3,4,71,1,0,0,0,0
2354.13,2,3,106,1,0,0,0,0
2983.28,3,8,76,1,0,0,0,0
20817.5,1,5,68,0,0,0,0,0
4817.22,2,4,55,0,0,0,0,0
2727.09,2,6,30,1,0,0,0,0
2768.36,1,5,31,1,0,0,0,0
2257.37,2,5,12,1,0,0,0,0
3457.37,1,6,27,0,0,0,0,0
11737.88,2,7,79,0,0,0,0,0
9998.72,4,5,72,0,0,0,0,0
1920.97,1,7,19,0,0,1,0,0
5835.23,3,6,100,0,0,0,0,0
3562.69,3,4,117,0,0,0,0,0
9190.75,3,7,81,1,0,0,0,0
4336.89,3,6,37,0,0,0,1,0
6615.82,5,8,3,1,0,0,0,0
4329.1,2,5,39,1,0,0,1,0
854.34,4,6,4,1,0,0,0,0
